SampleID	CancerType	B.cells.naive	B.cells.memory	Plasma.cells	T.cells.CD8	T.cells.CD4.naive	T.cells.CD4.memory.resting	T.cells.CD4.memory.activated	T.cells.follicular.helper	T.cells.regulatory..Tregs.	T.cells.gamma.delta	NK.cells.resting	NK.cells.activated	Monocytes	Macrophages.M0	Macrophages.M1	Macrophages.M2	Dendritic.cells.resting	Dendritic.cells.activated	Mast.cells.resting	Mast.cells.activated	Eosinophils	Neutrophils	P.value	Correlation	RMSE
TCGA.OR.A5JG.01A.11R.A29S.07	ACC	0	0.0485287075964894	0.0160518140022072	0.0460989031765703	0.0270373398780985	0.290681823001288	0	0	0	0	0.0291576826269054	0.0431665824365932	0.0467029017826167	0	0.00718890937181067	0.363861297686544	0.00271481695554838	0.0261245461033553	0.0327881677315881	0	0.0102897269448191	0.00960678070556603	0.112	0.0957974674483916	1.04714231590235
TCGA.OR.A5LG.01A.11R.A29S.07	ACC	0.0071688759108301	0.0111253802716145	0.0079818849043052	0.139842291714935	0	0.142742360497331	0	0.00161424400946181	0	0	0.00790616960876538	0.0315575664800679	0.06811696589862	0	0	0.448243225146278	0	0.00746417664399289	0.126236858913799	0	0	0	0.104	0.103344810997582	1.04616262169015
TCGA.OR.A5JD.01A.11R.A29S.07	ACC	2.34224496435732e-05	0.0146065890886528	0	0.104888114218716	0	0.174894884809057	0	0.0179279942549479	0	0	0	0.070306381643161	0.0861045776679024	0	0.00163654525951101	0.329551512178123	0	0.00932955071367044	0	0.190730427716615	0	0	0.0679999999999999	0.143258537312463	1.03981159476183
TCGA.OR.A5LH.01A.11R.A29S.07	ACC	0.0472990819437983	0.0381795167917281	0	0.198591397898346	0	0.0652400078740441	0	0.0433099242178856	0	0	0	0.101880403764682	0.140177691223416	0	0.0120810894225892	0.287939269067812	0	0.000576289395095899	0	0.0647253284006028	0	0	0.388	0.0287629250311891	1.08055277426055
TCGA.OR.A5KY.01A.11R.A29S.07	ACC	0	0.0247952342111547	0.00441809789676091	0.0515060308620318	0	0.225891660478804	0	0	0	0	0	0.0325471327581996	0.099327106082377	0	9.975026684229e-05	0.486399668482465	0	0.0428273372497655	0	0.017418491096854	0.0147694906147457	0	0.246	0.0556206329474056	1.07347437102085
TCGA.PK.A5HB.01A.11R.A29S.07	ACC	0.0197282605265651	0	0.0146646062000616	0	0.0136248817133316	0.225556865042233	0	0.000754930498436562	0	0	0.065301531045274	0	0.0660122485848194	0	0	0.299668267651405	0	0.237543673210484	0.0571447355273898	0	0	0	0.32	0.0387936398991412	1.06912638834217
TCGA.PK.A5HA.01A.11R.A29S.07	ACC	0	0.0109967637902312	0.00381311633516584	0.116870615476457	0	0.0201070170787877	0.00549885308390477	0.0144227266351413	0.0107749984235307	0	0.010742743460094	0	0.0406529640134432	0	0	0.692738445644591	0.00912960626307857	0	0.0642521497955745	0	0	0	0	0.4066307780051	0.921035074230915
TCGA.OR.A5KX.01A.11R.A29S.07	ACC	0.0287273974356859	0	0.00210750465951512	0.0538136377313899	0	0.223835009598624	0	0	0	0	0.0445239640776203	0.035820552472624	0.26301179129388	0	0	0.187700535231764	0	0.00405679860266947	0.156402808896228	0	0	0	0.388	0.028788096275689	1.06975696361648
TCGA.PK.A5H8.01A.11R.A29S.07	ACC	0.0169785412680362	0	0	0.0273796877034118	0	0.206535545782465	0	0.00452631454475126	0	0	0	0.0917678717186847	0.107543415288488	0	0	0.423374307707301	0	0.017146642294388	0	0.100450960220082	0.0042967134723927	0	0.262	0.0508683939667215	1.07677388124019
TCGA.PK.A5H9.01A.11R.A29S.07	ACC	0.00308571921204134	0.00917364107573394	0.0246438501225867	0.0634466456105063	0	0.142123640997816	0	0.074405883599748	0	0	0	0.0638616369086622	0.120520681524927	0	0.0178925958539424	0.337404999055531	0	0.00345027476835735	0.139990431270148	0	0	0	0.434	0.0220199895607494	1.06864062251966
